brand,category,total_products,avg_review_count,avg_price,price_range_ratio,sku_option_score,pain_keyword_count,pain_keyword_ratio,total_reviews_sampled,trend_recent_avg,trend_prev_avg,trend_growth_rate,datalab_available,growth_score_raw,cs_score_raw,sku_score_raw,growth_score,cs_score,sku_score,pain_score,top_pain_keywords,main_sellers,courier_company,threepl,sampled_at
한국칼림바협회,주방용품,4,0.0,0.0,0.0,0.0,0,0.0,8,100.0,0.0,100.0,True,1.0,0.0,0.0,1.0,0.5,0.0,0.6,,한국칼림바협회(4),미확인,미확인,2026-04-10
크레모아,캠핑/등산,3,0.0,0.0,0.0,0.0,0,0.0,6,61.6361,41.4702,0.4863,True,0.7256,0.0,0.2777777777777778,0.6489,0.5,0.5556,0.5707,,"네이버(2), 맥주와 캠핑(1)",미확인,미확인,2026-04-10
프린트스타,패션의류,3,0.0,0.0,0.0,0.0,0,0.0,6,8.6935,6.4409,0.3497,True,0.6681,0.0,0.2777777777777778,0.5754,0.5,0.5556,0.5413,,"클로프(1), 개봉상회(1), 해시노멀(1)",미확인,미확인,2026-04-10
비비안,패션의류,10,0.0,0.0,0.0,0.0,0,0.0,20,75.0932,68.4315,0.0973,True,0.5485,0.0,0.4166666666666667,0.4223,0.5,0.8333,0.5356,,"이너 스페이스(6), 비비안 스토어(2), 이너샵(1), 아자두(1)",미확인,미확인,2026-04-10
Globalhmhm,패션의류,6,0.0,0.0,0.0,0.0,0,0.0,12,0.0,0.0,0.0,False,0.40594523336844945,0.0,0.5,0.24,0.5,1.0,0.496,,Globalhmhm(6),미확인,미확인,2026-04-10
네이버,유아동,53,0.0,0.0,0.0,0.0,0,0.0,106,67.9234,84.6438,-0.1975,True,0.4025,0.0,0.5,0.2355,0.5,1.0,0.4942,,네이버(53),미확인,미확인,2026-04-10
11번가,유아동,43,0.0,0.0,0.0,0.0,0,0.0,86,88.4193,88.121,0.0034,True,0.5017,0.0,0.32945736434108525,0.3625,0.5,0.6589,0.4768,,11번가(43),미확인,미확인,2026-04-10
일이코퍼레이션,캠핑/등산,3,0.0,0.0,0.0,0.0,0,0.0,6,0.0,0.0,0.0,False,0.33910326202366337,0.0,0.5,0.1544,0.5,1.0,0.4618,,일이코퍼레이션(3),미확인,미확인,2026-04-10
제이X제곱,패션의류,3,0.0,0.0,0.0,0.0,0,0.0,6,0.3847,0.2192,0.1655,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,제이X제곱(3),미확인,미확인,2026-04-10
노라인피스,패션의류,3,0.0,0.0,0.0,0.0,0,0.0,6,0.5914,0.4858,0.1057,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,노라인피스(3),미확인,미확인,2026-04-10
리펙트,패션의류,4,0.0,0.0,0.0,0.0,0,0.0,8,0.0444,0.0129,0.0315,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,리펙트(4),미확인,미확인,2026-04-10
다소다,주방용품,3,0.0,0.0,0.0,0.0,0,0.0,6,0.0603,0.0427,0.0176,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,다소다 공식스토어(3),미확인,미확인,2026-04-10
코글란,캠핑/등산,3,0.0,0.0,0.0,0.0,0,0.0,6,0.1274,0.296,-0.1686,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,캠핑포레스트(3),미확인,미확인,2026-04-10
봄동맘,유아동,3,0.0,0.0,0.0,0.0,0,0.0,6,0.0324,0.0303,0.0022,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,봄동맘(3),미확인,미확인,2026-04-10
탈렌트키즈,유아동,18,0.0,0.0,0.0,0.0,0,0.0,36,0.0477,0.0538,-0.0062,True,0.3,0.0,0.5,0.1044,0.5,1.0,0.4418,,네이버(18),미확인,미확인,2026-04-10
코베아,캠핑/등산,5,0.0,0.0,0.0,0.0,0,0.0,10,84.2358,75.2693,0.1191,True,0.5593,0.0,0.16666666666666669,0.4362,0.5,0.3333,0.4411,,"캠핑그라운드(3), 네이버(1), 콜맨 부산점(1)",미확인,미확인,2026-04-10
판게아,반려동물용품,4,0.0,0.0,0.0,0.0,0,0.0,8,27.5917,19.9037,0.3863,True,0.6841,0.0,0.0,0.5958,0.5,0.0,0.4383,,"네이버(1), 로움 ROUM(1), 뉴런렙타일(1), 파충류샵 정글펫(1)",미확인,미확인,2026-04-10
피지오겔,스킨케어,3,0.0,0.0,0.0,0.0,0,0.0,6,33.4686,36.4503,-0.0818,True,0.4592,0.0,0.2777777777777778,0.3081,0.5,0.5556,0.4344,,"네이버(2), 로즈블리(1)",미확인,미확인,2026-04-10
드래곤픽스,스킨케어,9,0.0,0.0,0.0,0.0,0,0.0,18,0.0,0.0,0.0,False,0.4454434690940132,0.0,0.2777777777777778,0.2905,0.5,0.5556,0.4273,,드래곤픽스(9),미확인,미확인,2026-04-10
브루소,주방용품,3,0.0,0.0,0.0,0.0,0,0.0,6,10.0306,7.5306,0.332,True,0.6602,0.0,0.0,0.5653,0.5,0.0,0.4261,,"네이버(2), 모던피크(1)",미확인,미확인,2026-04-10
